,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
823,853,Halcyon smyrnensis,White-throated Kingfisher,"Nandur Madhameshwar, Nashik, Maharashtra, India",20.00810833,74.105815,23/04/2019,https://static.inaturalist.org/photos/35604841/medium.jpeg?1556061571
824,854,Alcedo atthis,Common Kingfisher,"Nandur Madhameshwar, Nashik, Maharashtra, India",20.00751127,74.10766725,05/06/2019,https://static.inaturalist.org/photos/38192674/medium.jpeg?1557184562
825,855,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, IN",19.138561,72.96294231,23/08/2019,https://static.inaturalist.org/photos/42848766/medium.jpg?1561328764
826,856,Halcyon smyrnensis,White-throated Kingfisher,"Tadoba-Andhari Tiger Reserve, Maharashtra, Indien",20.35690568,79.35709832,07/05/2019,https://static.inaturalist.org/photos/44017491/medium.jpg?1562353547
827,857,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra 400042, India",19.1419038,72.9646254,08/04/2019,https://static.inaturalist.org/photos/47100097/medium.jpeg?1564906096
828,858,Alcedo atthis,Common Kingfisher,"13, Tikuji Ni Wadi Rd, Hill Garden, Kokanipada, Thane West, Thane, Maharashtra 400607, India",19.2372539,72.9645546,08/07/2019,https://static.inaturalist.org/photos/47464352/medium.jpeg?1565206052
829,859,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra 400042, India",19.1419038,72.9646254,08/09/2019,https://static.inaturalist.org/photos/47618161/medium.jpeg?1565356356
830,860,Halcyon smyrnensis,White-throated Kingfisher,"Mulund East, Mumbai, Maharashtra 400042, India",19.1419038,72.9646254,08/09/2019,https://static.inaturalist.org/photos/47618552/medium.jpeg?1565356743
831,861,Alcedo atthis,Common Kingfisher,"Urul, Maharashtra 415109, India",17.363129999999998,74.02846139,08/12/2019,https://static.inaturalist.org/photos/47910515/medium.jpeg?1565574696
832,862,Halcyon smyrnensis,White-throated Kingfisher,"Kolshet Rd, Kolshet, Thane West, Thane, Maharashtra 400607, India",19.245164399999997,72.9979465,08/12/2019,https://static.inaturalist.org/photos/47967543/medium.jpeg?1565629882
833,863,Halcyon smyrnensis,White-throated Kingfisher,"Mulund East, Mumbai, Maharashtra 400042, India",19.1419038,72.9646254,13/08/2019,https://static.inaturalist.org/photos/48063470/medium.jpeg?1565708945
834,864,Alcedo atthis,Common Kingfisher,"Nagaon, Maharashtra 402204, India",18.614008,72.9050732,14/08/2019,https://static.inaturalist.org/photos/48131328/medium.jpeg?1565754707
835,865,Halcyon smyrnensis,White-throated Kingfisher,"Murud, Maharashtra 415713, India",17.777093100000002,73.11873270000001,14/08/2019,https://static.inaturalist.org/photos/48138218/medium.jpeg?1565764247
836,866,Halcyon smyrnensis,White-throated Kingfisher,"Tulsundewadi, Maharashtra, India",16.6298861,73.34364267,14/08/2019,https://static.inaturalist.org/photos/48143228/medium.jpeg?1565775240
837,867,Halcyon smyrnensis,White-throated Kingfisher,"Gaonkhadi, Maharashtra, India",16.80926732,73.3285879,15/08/2019,https://static.inaturalist.org/photos/48241538/medium.jpeg?1565857079
838,868,Halcyon smyrnensis,White-throated Kingfisher,"Nakashe Wadi, Rajapur, Maharashtra 416702, India",16.66573139,73.52638472,15/08/2019,https://static.inaturalist.org/photos/48244390/medium.jpeg?1565861887
839,869,Halcyon smyrnensis,White-throated Kingfisher,"Holi, Maharashtra, India",16.63015639,73.35464806,16/08/2019,https://static.inaturalist.org/photos/48334913/medium.jpeg?1565930976
840,870,Alcedo atthis,Common Kingfisher,"Borivali East, Mumbai, Maharashtra, India",19.22905617,72.87018009,22/08/2019,https://static.inaturalist.org/photos/48978360/medium.jpeg?1566496778
841,871,Halcyon smyrnensis,White-throated Kingfisher,"Borivali East, Mumbai, Maharashtra, India",19.2284626,72.870051,24/08/2019,https://static.inaturalist.org/photos/49150360/medium.jpeg?1566661028
842,872,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra 400042, India",19.1419038,72.9646254,25/08/2019,https://static.inaturalist.org/photos/49264709/medium.jpeg?1566745903
843,873,Halcyon smyrnensis,White-throated Kingfisher,"Mohammed Wadi, Pune, Maharashtra, India",18.4630843,73.92254641,28/08/2019,https://static.inaturalist.org/photos/49566321/medium.jpeg?1566970935
844,874,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Mangaon, Maharashtra 402104, India",18.238242800000002,73.281696,19/09/2019,https://static.inaturalist.org/photos/51819726/medium.jpg?1568910303
845,875,Alcedo atthis,Common Kingfisher,"Sawarde-Dervan, Near Chiplun",17.400519,73.549159,23/09/2019,https://static.inaturalist.org/photos/52319596/medium.jpg?1569337988
846,877,Halcyon smyrnensis,White-throated Kingfisher,"Sawarde-Dervan, Near Chiplun",17.400519,73.549159,23/09/2019,https://static.inaturalist.org/photos/52319416/medium.jpg?1569337845
847,878,Alcedo meninting,Blue-eared Kingfisher,Karli,15.98456746,73.55274344,23/09/2019,https://static.inaturalist.org/photos/52221839/medium.jpeg?1569249134
848,879,Alcedo atthis,Common Kingfisher,"NRI Complex, Seawoods",19.00678039,73.01469952,12/01/2019,https://static.inaturalist.org/photos/57294115/medium.jpeg?1575220748
849,880,Halcyon smyrnensis,White-throated Kingfisher,India,19.29551323,72.93029232,30/12/2019,https://static.inaturalist.org/photos/58726787/medium.jpg?1577665077
850,881,Ceryle rudis,Pied Kingfisher,"Alibag, Raigarh, Maharashtra, IN",18.73559167,72.89842167,01/01/2020,https://static.inaturalist.org/photos/58847266/medium.jpg?1577856596
851,882,Ceryle rudis,Pied Kingfisher,"Chandrapur, Maharashtra 442401, India",20.2483827,79.36068900000001,01/12/2020,https://static.inaturalist.org/photos/59491421/medium.jpeg?1578821747
852,883,Alcedo atthis,Common Kingfisher,"Chandrapur, Maharashtra 442401, India",20.2483827,79.36068900000001,01/12/2020,https://static.inaturalist.org/photos/59491425/medium.jpeg?1578821750
853,884,Halcyon smyrnensis,White-throated Kingfisher,"Mulshi, Maharashtra 412108, India",18.501053600000002,73.51376540000001,18/01/2020,https://static.inaturalist.org/photos/59827353/medium.jpg?1579342044
854,885,Alcedo atthis,Common Kingfisher,"Hari Om Nagar, Kolhapur, Maharashtra, India",16.68739388,74.20737126,02/05/2020,https://static.inaturalist.org/photos/60893688/medium.jpeg?1580903605
855,886,Halcyon smyrnensis,White-throated Kingfisher,"CBD Belapur, Navi Mumbai, Maharashtra, India",19.02005811,73.03855482,13/02/2020,https://static.inaturalist.org/photos/61366775/medium.png?1581583802
856,887,Halcyon smyrnensis,White-throated Kingfisher,"Navegaon and Ramdegi Gate Tadoba-Andhari Tiger Reserve, Unnamed Road, Maharashtra 442903, India",20.48309548,79.28315979,29/02/2020,https://static.inaturalist.org/photos/62422344/medium.jpeg?1582986969
857,888,Halcyon smyrnensis,White-throated Kingfisher,"Kranti Flemingo Point, Maharashtra, India",18.263385999999997,74.804227,03/05/2020,https://static.inaturalist.org/photos/62798690/medium.jpg?1583427685
858,889,Alcedo atthis,Common Kingfisher,"Raigad, Maharashtra, India",18.37308955,72.92317562,03/11/2020,https://static.inaturalist.org/photos/63238662/medium.jpeg?1583924324
