,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
68,69,Anas poecilorhyncha,Indian Spot-billed Duck,"Bhandup Pumping Station, Mumbai",19.1411,72.961,15/11/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
69,70,Anas poecilorhyncha,Indian Spot-billed Duck,Lokhandwala Lake--Mangroves,19.1438,72.8183,10/12/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
70,71,Anas poecilorhyncha,Indian Spot-billed Duck,Lokhandwala Lake--Mangroves,19.1438,72.8183,10/12/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
71,72,Anas poecilorhyncha,Indian Spot-billed Duck,Lokhandwala Lake--Mangroves,19.1438,72.8183,12/10/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
72,73,Anas poecilorhyncha,Indian Spot-billed Duck,ARAI Hills (Vetal Tekdi),18.5279,73.8175,04/10/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
73,74,Anas poecilorhyncha,Indian Spot-billed Duck,"Panje, Uran",18.908,72.9492,12/08/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
74,75,Anas poecilorhyncha,Indian Spot-billed Duck,"Panje, Uran",18.908,72.9492,12/08/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
75,76,Anas poecilorhyncha,Indian Spot-billed Duck,Bhusawal Thermal Power Station (BTPS)--Sewage Treatment Plant,21.0405,75.8396,01/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
76,77,Anas poecilorhyncha,Indian Spot-billed Duck,Bhusawal Thermal Power Station (BTPS)--Sewage Treatment Plant,21.0405,75.8396,01/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
77,78,Anas poecilorhyncha,Indian Spot-billed Duck,"Tapti BTPS RESERVOIR (21.06, 75.852)",21.0596,75.8519,12/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
78,79,Anas poecilorhyncha,Indian Spot-billed Duck,Shivaji University,16.6833,74.2535,27/12/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
79,80,Anas poecilorhyncha,Indian Spot-billed Duck,"Pench Tiger Reserve, Maharashtra",21.6439,79.2414,20/12/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
